N	Accession	Gene_Symbol	Protein_Name	Unused
1	IPI00643525.1	C4A	Complement component 4A	148.30
1	IPI00418163.3	C4B	C4B1	0.22
2	IPI00478003.1	A2M	Alpha-2-macroglobulin precursor	116.46
3	IPI00414283.5	FN1	fibronectin 1 isoform 4 preproprotein	115.75
3	IPI00845263.1	FN1	fibronectin 1 isoform 2 preproprotein	0.00
3	IPI00339223.1	FN1	Isoform 3 of Fibronectin precursor	0.00
3	IPI00022418.1	FN1	Isoform 1 of Fibronectin precursor	0.00
3	IPI00855777.1	FN1	Isoform 14 of Fibronectin precursor	0.00
3	IPI00339228.1	FN1	Isoform 8 of Fibronectin precursor	0.00
4	IPI00021885.1	FGA	Isoform 1 of Fibrinogen alpha chain precursor	100.00
4	IPI00029717.1	FGA	Isoform 2 of Fibrinogen alpha chain precursor	0.00
5	IPI00017601.1	CP	Ceruloplasmin precursor	99.46
6	IPI00029739.5	CFH	Isoform 1 of Complement factor H precursor	91.46
7	IPI00298497.3	FGB	Fibrinogen beta chain precursor	81.37
8	IPI00032291.2	C5	Complement C5 precursor	75.20
9	IPI00022488.1	HPX	Hemopexin precursor	66.90
10	IPI00294193.4	ITIH4	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 precursor	63.81
11	IPI00019580.1	PLG	Plasminogen precursor	62.26
12	IPI00215894.1	KNG1	Isoform LMW of Kininogen-1 precursor	58.12
12	IPI00797833.3	KNG1	Kininogen 1	0.00
13	IPI00798430.1	TF	Transferrin variant (Fragment)	54.77
13	IPI00022463.1	TF	Serotransferrin precursor	0.00
14	IPI00019591.1	CFB	Isoform 1 of Complement factor B precursor (Fragment)	54.47
14	IPI00639937.1	CFB	B-factor, properdin	0.00
15	IPI00641737.1	HP	Haptoglobin precursor	54.07
16	IPI00847179.1	APOA4	apolipoprotein A-IV precursor	52.11
17	IPI00645038.1	ITIH2	Inter-alpha (Globulin) inhibitor H2	51.07
17	IPI00305461.2	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2 precursor	0.00
18	IPI00026314.1	GSN	Isoform 1 of Gelsolin precursor	48.95
19	IPI00292530.1	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 precursor	48.80
20	IPI00877703.1	FGG	52 kDa protein	47.07
20	IPI00021891.5	FGG	Isoform Gamma-B of Fibrinogen gamma chain precursor	0.00
20	IPI00877792.1	FGG	50 kDa protein	0.00
20	IPI00219713.1	FGG	Isoform Gamma-A of Fibrinogen gamma chain precursor	0.00
21	IPI00019568.1	F2	Prothrombin precursor (Fragment)	47.01
22	IPI00742696.2	GC	vitamin D-binding protein precursor	46.25
23	IPI00550991.3	SERPINA3	Alpha-1-antichymotrypsin precursor	42.35
23	IPI00847635.1	SERPINA3	Isoform 1 of Alpha-1-antichymotrypsin precursor	0.00
24	IPI00472610.2	IGHM	IGHM protein	40.86
25	IPI00022434.4	ALB	Uncharacterized protein ALB	39.53
25	IPI00745872.2	ALB	Isoform 1 of Serum albumin precursor	0.00
26	IPI00296165.5	C1R;C17orf13;ACYP1	Complement C1r subcomponent precursor	38.72
27	IPI00032179.2	SERPINC1	Antithrombin III variant	35.68
28	IPI00009920.2	C6	Complement component 6 precursor	35.45
29	IPI00828205.1	IGHM	IGHM protein	34.69
30	IPI00296608.6	C7	Complement component C7 precursor	33.44
31	IPI00022431.1	AHSG	Alpha-2-HS-glycoprotein precursor	32.61
32	IPI00019943.1	AFM	Afamin precursor	32.36
33	IPI00017696.1	C1S	Complement C1s subcomponent precursor	32.13
34	IPI00292950.4	SERPIND1	Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1	31.46
34	IPI00879573.1	SERPIND1	Heparin cofactor 2 precursor	0.00
35	IPI00745089.2	A1BG	alpha 1B-glycoprotein precursor	31.42
35	IPI00022895.7	A1BG	Alpha-1B-glycoprotein precursor	0.00
36	IPI00291866.5	SERPING1	Plasma protease C1 inhibitor precursor	29.69
36	IPI00879931.1	SERPING1	cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA	0.00
37	IPI00022395.1	C9	Complement component C9 precursor	29.30
38	IPI00298971.1	VTN	Vitronectin precursor	28.56
39	IPI00291867.3	CFI	Complement factor I precursor	28.43
39	IPI00872555.2	CFI	cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA	0.00
40	IPI00019581.1	F12	Coagulation factor XII precursor	28.34
41	IPI00294395.1	C8B	Complement component C8 beta chain precursor	26.43
42	IPI00022371.1	HRG	Histidine-rich glycoprotein precursor	25.22
43	IPI00784985.1	IGK@	IGK@ protein	25.20
43	IPI00761125.2	IGKC	IGKC protein	0.01
44	IPI00879231.1	SERPINF2	Alpha-2-antiplasmin precursor	24.55
44	IPI00029863.4	SERPINF2	SERPINF2 protein	0.00
45	IPI00328609.3	SERPINA4	Kallistatin precursor	23.99
46	IPI00645849.1	ECM1	Extracellular matrix protein 1	23.41
46	IPI00003351.2	ECM1	Extracellular matrix protein 1 precursor	0.00
47	IPI00303963.1	C2	Complement C2 precursor (Fragment)	23.28
48	IPI00654888.4	KLKB1	Plasma kallikrein precursor	22.36
49	IPI00400826.1	CLU	clusterin isoform 1	22.21
49	IPI00291262.3	CLU	Clusterin precursor	0.00
49	IPI00795633.1	CLU	CLU	0.00
50	IPI00022391.1	APCS	Serum amyloid P-component precursor	21.85
51	IPI00011252.1	C8A	Complement component C8 alpha chain precursor	20.89
52	IPI00844536.2	RBP4	Uncharacterized protein RBP4	20.61
52	IPI00480192.1	RBP4	Retinol binding protein 4, plasma	0.00
52	IPI00022420.3	RBP4	Plasma retinol-binding protein precursor	0.00
53	IPI00020996.3	IGFALS	Insulin-like growth factor-binding protein complex acid labile chain precursor	20.29
54	IPI00386879.1	IGHV3OR16-13;IGHA1	CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA	19.24
55	IPI00298828.3	APOH	Beta-2-glycoprotein 1 precursor	18.63
56	IPI00021841.1	APOA1	Apolipoprotein A-I precursor	17.92
57	IPI00022426.1	AMBP	AMBP protein precursor	17.83
58	IPI00299503.2	GPLD1	Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor	17.39
59	IPI00876950.1	ITIH3	Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	17.07
59	IPI00028413.8	ITIH3	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	0.00
59	IPI00873416.1	ITIH3	Uncharacterized protein ITIH3	0.00
60	IPI00829626.1	IGL@	IGL@ protein	16.08
60	IPI00550162.2	IGLV3-25	IGLV3-25 protein	0.00
61	IPI00011261.2	C8G	Complement component C8 gamma chain precursor	15.07
62	IPI00006114.4	SERPINF1	Pigment epithelium-derived factor precursor	14.62
63	IPI00292946.1	SERPINA7	Thyroxine-binding globulin precursor	14.09
64	IPI00032220.3	AGT	Angiotensinogen precursor	13.96
65	IPI00394992.1	PGLYRP2	Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor	13.40
65	IPI00163207.1	PGLYRP2	Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor	0.00
66	IPI00027235.1	ATRN	Isoform 1 of Attractin precursor	13.06
66	IPI00162735.3	ATRN	Isoform 2 of Attractin precursor	0.00
66	IPI00218460.6	ATRN	Isoform 3 of Attractin precursor	0.00
67	IPI00009028.1	CLEC3B	Tetranectin precursor	12.20
68	IPI00021727.1	C4BPA	C4b-binding protein alpha chain precursor	11.37
69	IPI00873445.1	PROS1	80 kDa protein	11.13
69	IPI00294004.1	PROS1	Vitamin K-dependent protein S precursor	0.00
